,Regione,Ricoverati con sintomi,Terapia Intensiva,Isolamento Domiciliare,Totale,Dimessi Guariti,Deceduti,Totale Positivi,Tamponi
0,Lombardia,172.0,41.0,136.0,349.0,40.0,14.0,403,3320.0
1,Veneto,19.0,8.0,82.0,109.0,,2.0,111,6164.0
2,Emila Romanga,36.0,6.0,54.0,96.0,,1.0,97,1033.0
3,Liguria,9.0,,10.0,19.0,,,19,78.0
4,Piemonte,2.0,,,2.0,,,2,156.0
5,Toscana,2.0,,,2.0,,,2,410.0
6,Marche ,2.0,1.0,,3.0,,,3,46.0
7,Sicilia,1.0,,1.0,2.0,2.0,,4,5.0
8,Lazio,,,,0.0,3.0,,3,552.0
9,Campania,2.0,,1.0,3.0,,,3,10.0
10,Puglia,1.0,,,1.0,,,1,
11,Bolzano,1.0,,,1.0,,,1,2.0
12,Abruzzo,1.0,,,1.0,,,1,33.0
13,Calabria,,,,,,,0,14.0
14,Sardegna,,,,,,,0,1.0
15,Umbria,,,,,,,0,8.0
16,Valle D'Aosta,,,,,,,0,9.0
17,Friuli V.G.,,,,,,,0,141.0
18,Trento ,,,,,,,0,32.0
19,Molise,,,,,,,0,
20,Basilicata,,,,,,,0,
21,Somma Totale,248.0,56.0,284.0,588.0,45.0,17.0,650,12014.0
